Classifier	Feature set	P	R	F1
Grad. Tree Boost	All_features	0.780264817150063	0.9903961584633854	0.8728619291130312
Grad. Tree Boost	CTX_EVT	0.6662800811829516	0.9195678271308524	0.7726967047747142
Grad. Tree Boost	NDF	0.6990291262135923	0.9795918367346939	0.8158640226628896
Grad. Tree Boost	NDF_CTX	0.777602523659306	0.9863945578231292	0.869641912153819
Grad. Tree Boost	NDF_EVT	0.6875175315568023	0.9807923169267707	0.8083773087071241
Feed Fwd. NN	All_features	0.32306451612903225	0.8015206082432973	0.46051270260949534
Feed Fwd. NN	CTX_EVT	0.45483043602165857	0.6386554621848739	0.5312916111850865
Feed Fwd. NN	NDF	0.49311776272667684	0.9031612645058024	0.6379310344827586
Feed Fwd. NN	NDF_CTX	0.5904677846425419	0.8031212484993998	0.6805696846388607
Feed Fwd. NN	NDF_EVT	0.4578366445916115	0.8299319727891157	0.5901266182956323
Logistic Reg.	All_features	0.5756966388968687	0.801920768307323	0.6702341137123747
Logistic Reg.	CTX_EVT	0.4220286597358809	0.6010404161664666	0.49587322548695945
Logistic Reg.	NDF	0.4961851475076297	0.7807122849139656	0.6067485616544861
Logistic Reg.	NDF_CTX	0.5863844393592678	0.820328131252501	0.6839032527105923
Logistic Reg.	NDF_EVT	0.47671840354767187	0.7743097238895558	0.5901189387008234
SVM - Poly	All_features	0.632114587259706	0.6710684273709484	0.6510093167701864
SVM - Poly	CTX_EVT	0.8064516129032258	0.08003201280512205	0.1456133964324718
SVM - Poly	NDF	0.5461847389558233	0.7074829931972789	0.6164574616457462
SVM - Poly	NDF_CTX	0.6487128712871287	0.6554621848739496	0.6520700636942676
SVM - Poly	NDF_EVT	0.5475899938987188	0.7182873149259704	0.6214298078587502
SVM - Gaussian	All_features	0.5936507936507937	0.7482993197278912	0.6620640821384316
SVM - Gaussian	CTX_EVT	0.5163660654642619	0.6186474589835934	0.5628982341161479
SVM - Gaussian	NDF	0.5069049553208773	0.7490996398559424	0.6046511627906976
SVM - Gaussian	NDF_CTX	0.6014964216005205	0.7398959583833533	0.6635564328010048
SVM - Gaussian	NDF_EVT	0.501336183858899	0.7507002801120448	0.6011857074186829
Random Forest	All_features	0.7066666666666667	0.7210884353741497	0.7138047138047138
Random Forest	CTX_EVT	0.6707182320441989	0.48579431772709086	0.5634718032025992
Random Forest	NDF	0.5765462339252909	0.7535014005602241	0.6532523850823938
Random Forest	NDF_CTX	0.7034456058846302	0.7270908363345339	0.7150728059818969
Random Forest	NDF_EVT	0.49810749432248297	0.7899159663865546	0.6109563602599815
SVM - Linear	All_features	0.5674603174603174	0.8011204481792717	0.6643437862950058
SVM - Linear	CTX_EVT	0.44466403162055335	0.6302521008403361	0.5214368482039398
SVM - Linear	NDF	0.4578029231494578	0.7771108443377351	0.5761756415962023
SVM - Linear	NDF_CTX	0.5838906658912475	0.8035214085634254	0.6763219939373526
SVM - Linear	NDF_EVT	0.45602985770935384	0.782312925170068	0.5761862658414383
